,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Svetlana Goncharova,92 (150),,12 - 1:18:23,15 - 1:40:03,10 - 20:37,12 - 42:59,,10 - 42:53,12 - 33:05,,,,12 - 45:26,,20 - 1:11:40,20 - 20:35,12 - 20:57,15 - 21:01
Karen Grabowski,23,,15 - 1:17:04,,21:49,,,,,,,,,,,,8 - 21:42,
Martha Gullo,0,,,2:35:57,31:04,1:05:38,,1:09:12,50:51,39:40,9:30.7,,,,,32:03,31:14,47:10
Susan Hagel,72 (96),10 - 2:29:50,1:30:59,,25:02,8 - 53:15,8 - 24:09,54:34,8 - 40:32,29:22,10 - 7:20.2,,10 - 50:45,,15 - 1:25:31,15 - 23:24,23:37,12 - 24:17
Kimberly Hague,0,,,2:34:48,,,,,,,,2:04:49,,,,,,
Carol Hansen-Vessa,0,,,,,,,,,,,,,,,,28:29,28:15
Catherine Harden,,,,,,,,,,,,,,,,,,
Karla Havens,,,,,,,,,,,,,,,,,,
Julie Hicks,43,,,,,,,46:22,,8 - 27:52,15 - 6:18.6,,,20 - 23:06,,,,
Emily Honeycutt,100 (130),,,,15 - 19:53,15 - 41:56,15 - 19:45,15 - 41:10,15 - 32:11,,,,15 - 41:28,,,,20 - 19:33,20 - 19:44
Michelle Hooper,46,,,,,,25:10,59:05,44:03,32:13,8 - 7:25.4,8 - 1:31:38,56:14,10 - 28:05,1:29:52,12 - 25:22,, 8 - 24:52
Christie Ireland,,,,,,,,,,,,,,,,,,
Cannon Jean,48,,,,8 - 21:21,10 - 48:12,12 - 21:10,8 - 45:27,42:00,,,,,,,,10 - 21:29,
Criztina Jean,0,,,,29:24,1:02:28,28:51,1:03:04,47:28,,,,,,,,28:07,
Sorenna Jean,25,,,,,,,45:29,10 - 34:42,,,,,,,,15 - 20:26,
Kerry Johnson,0,,,,,,,46:52,,,,,,,,,,
Valor Foy Jones,0,,,,,,,1:02:58,45:08,,,,59:22,,2:21:22,,,26:19
Kirsten Kelly,79 (97),15 - 2:09:28,10 - 1:19:13,12 - 1:46:40,,,,48:25,,10 - 27:13,12 - 6:50.5,15 - 1:27:42,,15 - 26:27,8 - 1:28:08,,,
Susan Kreider,12,12 - 2:14:20,,,,,,52:57,,31:24,,,,30:26,,,,
Maryanne Lee,0,,1:46:08,,29:34,1:02:57,,1:06:47,51:05,,8:32.5,1:48:11,,32:15,1:42:08,29:29,,28:41
Anna MacLeod,8,,8 - 1:22:28,,23:57,,,,,,,,,,,,,
Teresa Markley,0,,2:20:45,,36:31,1:16:56,34:46,1:18:36,1:00:06,45:50,10:32.1,2:20:17,1:22:39,39:27,2:15:05,35:17,33:40,34:24
Barbara Mathewson,0,,,,,,,56:59,,,,1:41:15,,,,,,
Bunny May,0,,,,46:33,,45:27,,1:14:16,,,,,,,48:20,,
Ann Mazur,,,,,,,,,,,,,,,,,,
Connie McKeon,0,,2:05:05,,,,36:53,1:22:01,59:30,47:38,,,,,,,,
Renee Merchant,24,,,,,,,12 - 42:38,,12 - 24:38,,,,,,,,
Michelle Moore,0,,,,,,,1:28:16,,44:17,,,,,,,,
Jenny Moran,47,20 - 1:42:34,,,12 - 20:01,,,,,15 - 23:29,,,,,,,,
Rachel Novakoski,8,8 - 2:50:09,,,,,,1:09:16,,,,,,35:40,,,,
Daphne Papaefthimiou,0,,,,25:14,,24:28,,,,,,,,,,24:42,
Maria Peters,0,,,2:20:27,27:30,,,1:03:23,,,,,1:01:10,,1:38:54,,,
Jean Phelan,0,,,,,,,1:07:05,,35:28,8:42.2,1:57:02,1:05:35,34:16,1:37:38,,,27:01
Norma Phillips,30,,1:27:45,8 - 1:56:10,25:22,54:04,25:22,53:16,42:11,,,,55:36,,12 - 1:26:22,10 - 25:42,25:53,25:57
Marie Price,0,,1:57:29,,35:51,1:15:38,35:00,1:15:12,1:00:01,44:28,11:19.8,,1:16:58,40:12,1:57:37,35:58,35:54,36:42
Wendy Rafferty,34,,,,25:00,,,53:10,,29:34,7:31.6,12 - 1:30:14,,12 - 26:33,,,,10 - 24:49
Deelyn Robinson,0,,,,25:18,55:41,25:04,,40:30,,,,50:31,,,,21:54,
Kelly Russo,10,,,10 - 1:54:11,,,,50:30,,,,,,,,,,
Sonyalee Salmon,,,,,,,,,,,,,,,,,,
Karen Schenck,0,,,,44:00,1:34:00,43:15,1:33:40,,,,,,,,,,
Lori Sherwood,0,,1:57:02,,31:19,,31:24,1:10:47,52:32,39:26,,2:00:36,,36:10,,,,
Lydia Short,10,,,,,,10 - 21:51,,,,,,,,,,22:11,
Susan Snead,0,,,,,,,58:05,,33:19,,,,,,,,
Debra Sommer,0,,,,,,,1:08:06,,37:48,,,,34:56,,,,
Maria Spady,0,,,,,,,,,,,,,,1:03:42,,,
Bethany Spector,120 (220),,20 - 1:12:29,20 - 1:33:18,20 - 19:30,20 - 40:29,20 - 18:27,20 - 38:50,20 - 30:57,20 - 21:04,20 - 5:25.9,20 - 1:01:29,20 - 37:03,,,,,
Jennifer St. Martin,0,,,,,,,1:09:06,,,,,,,,,,
Shirley Stephens,0,,,,29:54,1:04:40,30:03,1:07:21,50:37,,,,1:03:26,,,29:50,30:19,31:17
Patricia Travis,0,,1:50:14,2:31:19,29:13,1:03:51,29:09,1:02:15,49:41,,,,1:02:11,,1:40:22,,29:00,30:16
Elise Walton,0,,,,29:28,,,1:03:15,,34:14,,1:47:38,,31:06,,,,
Helen Worthington,8,,1:43:58,,28:56,,27:11,58:13,44:41,,,,1:01:22,,1:38:05,8 - 28:12,,27:35
,,,,,,,,,,,,,,,,,,
Masters Men,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Dale Abrahamson,0,,P,,P,P,P,,P,,,,,P,,P,P,P
Ken Alberg,0,,,,P,,,,,,,,,,,,,
David Anderson,8,,,8,P,P,P,P,,,,,P,,P,,P,
Larry Arata,0,,,,P,P,P,,P,,,,,,,,P,P
Gene Bachman,0,,,,,,,P,,,,,,,,,,
Leif Berner,0,,,P,,,,P,,,,P,,,,,,
Jimmy Blount,0,,P,,P,P,P,P,P,,,,P,,,,,
Jess Brown,0,P,P,P,P,P,,P,P,P,P,P,P,P,,P,,P
Bob Brunner,,,,,,,,,,,,,,,,,,
Joe Buck,0,P,P,P,,P,P,P,P,P,P,P,P,P,,,,
Andrea Buoso,81 (97),15,12,10,P,,,8,,,,12,,20,8,,,12
Richard Bush,0,,,,,,,,,P,,,,P,,,,
Joe Calkins,26,,,P,P,8,P,,,,,,10,,,,8,
Stephen Chantry,38,,,,8,12,8,P,10,,,,,,,,P,
Brian Chiles,0,P,P,,P,,,,,,,,,,,,,
Robert Curtin,0,,,,P,P,P,P,P,P,,,P,P,P,P,,P
Mike Daly,0,,P,,,,P,,,,,,P,,P,,,
Greg Dawson,0,,,,P,,,,,,,,,,,,P,
Joe Day,0,,P,,,P,,,,,,,,,,,,
John DiCarlo,0,P,P,,P,,,P,,P,P,P,,P,,P,P,
Jim Duffy,28,P,P,P,P,P,P,P,8,P,12,8,P,P,,,,
Louis Dwyer,0,,,,,,,P,,P,,P,,P,,,,
Ed Elmore,0,,,,P,,,,,,,,,,,,,
Scott Fredrick,0,,,,,,,P,,,,,,,,,,
David Glass,0,,P,P,,,,,,,,,,,,,,
Richard Grant,34,8,,P,P,P,P,P,,10,P,P,P,8,P,8,,
Jim Gullo,0,,,P,P,P,,P,P,P,P,,,,,P,P,P
Randy Hawthorne,0,,,,P,P,P,,P,,,,,,,,,P
Tony Heimer,0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,P
Thomas Hicks,60,20,,,,,,,,,20,20,,,,,,
Richard Hildreth,0,,,,,P,,P,,P,,,,P,,,,
Timothy Hodge,16,,P,,P,P,P,P,P,P,8,P,P,P,P,P,P,8
Charles Inman,15,,,,,,,,,,,15,,,,,,
Robert Jean,0,,,,P,P,P,P,P,,,,,,,,P,
Dwight Kane,0,,,,,,P,P,,P,,P,,,,,,
Steven Kast,85,,,,15,,15,,,,,,,,,20,15,20
Avinash Kelley,0,,P,P,,,,P,,P,,,,,,,,
Ken Kieft,0,,,,,,,P,,,,P,,P,,,,
George Knierbein,,,,,,,,,,,,,,,,,,
Chris Laws,60,,P,P,,,P,15,15,,,,,,20,,10,
Jon Leiding,76 (116),10,10,12,,10,P,10,12,12,15,,,15,10,,,
David Lockard,0,,,,,,,,,,,,,,,,,P
Greg Lynn,110 (174),,20,15,10,20,12,P,20,20,,,15,,15,15,12,
John Markley,0,,P,,P,P,P,P,P,P,P,P,P,P,,P,P,P
James Martin,0,,,,,,,,,P,,,,,,,,
Jason Miller,68,,8,20,,,P,20,,,,,20,,,,,
John Munday,0,,,,,,,P,P,P,P,P,P,P,P,,,P
William Murray,0,,,,,,,,,,,,,,P,,P,
Grant Neely,0,,,,,,,,,,,P,,,,,,
Paul Pelletier,24,,,,,,,P,,,,,12,,,12,P,
Steven Peters,0,,,,,,,P,,P,,,P,,,,,
Wayne Phelps,0,,P,,,,,,,P,P,P,,P,,P,,
Rick Platt,0,,,,,,P,P,P,,,,,,,P,P,
Bill Price,0,,P,P,P,P,P,P,P,P,P,P,P,P,,P,,
John Price,0,,,,,,,P,,P,P,,,,,,,
Kevin Rafferty,28,,,,P,,,P,,8,10,P,,P,,,,10
Tom Randolph,0,,,,,,,P,,,,,,,,,,
Robert Rantanen,0,,,,,,,P,,P,,,,P,,,,
Andy Riley,60,,,,20,,20,,,,,,,,,,20,
Brett Riley,51 (61),12,,,,,,12,,15,,10,,12,,,,
Ernest Schillinger,,,,,,,,,,,,,,,,,,
Stephen Scudder,0,,P,,P,P,P,P,P,P,P,,P,P,,,P,P
John Searing,0,,,,,,,P,,,,,,,,,,
Steven Shapiro,0,,,,,,,P,,P,,P,,,,,,
Brook Sherman,,,,,,,,,,,,,,,,,,
Steven Short,0,,,,P,,P,,,,,,,,,,P,
Dwight Starks,0,,P,,P,P,P,P,,P,,,P,P,,P,,
John Tarley,,,,,,,,,,,,,,,,,,
Winston Trice,,,,,,,,,,,,,,,,,,
Alan Van Zandt,,,,,,,,,,,,,,,,,,
Joseph Verdirame,0,,,,P,P,P,P,P,P,,P,P,P,P,,P,P
Rick Webb,0,,,,P,,,,P,,,,,,,P,,P
Gregg Weber,0,P,P,,,P,,P,,,P,,P,P,,,,
Tim Westfall,0,,P,,,,,,,P,P,,,,,,,P
Robert Whitaker,79 (107),,15,,12,15,10,P,,,,,8,10,12,10,P,15
John Wills,0,,P,,,,,P,,P,P,,,P,,,,
Matthew Zentz,0,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,
,,,,,,,,,,,,,,,,,,
Masters Women,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Nancy Atlee,0,,,,P,P,,P,,,,,,,,P,,
Barbara Biasi,0,,,,,,,,P,,,,,,,P,,P
Gail Biermann,0,,P,P,,,,P,,P,P,P,,P,P,,,
Betty Brothers,20,,,,,,,P,,P,P,12,,8,,,,
Jami Callahan-Brill,52 (68),,8,8,P,12,8,,,,,,12,,10,,10,
Kristi Chiles,8,8,P,P,P,,,P,,,,,,,,,,
Tammi Clarke,10,,,10,,,,,,,,,,,,,,
Carla Cline,0,,,,,,,P,,P,,P,,,P,,,
Amanda Collier,10,,P,P,P,10,,P,P,,,,,,P,,,P
Jennifer Cornette,22,,12,,,,,P,,P,,,,,,,,10
Susan Davis,0,,,P,,,,,,P,,P,,,,,,
Virginia Davis,0,,P,P,P,,,P,P,P,,,,,,,,
Victoria Estes,0,,,,P,,P,,P,,,,,,,,,
Thea Ganoe,0,,,,,,,,,,,,,,P,P,,P
Martha Gullo,0,,,P,P,P,,P,P,P,P,,,,,P,P,P
Susan Hagel,112 (214),10,10,,12,20,20,P,20,10,12,,20,,20,20,20,20
Kimberly Hague,0,,,P,,,,,,,,P,,,,,,
Catherine Harden,,,,,,,,,,,,,,,,,,
Carol Hansen-Vessa,0,,,,,,,,,,,,,,,,P,P
Karla Havens,,,,,,,,,,,,,,,,,,
Julie Hicks,72,,,,,,,20,,12,20,,,20,,,,
Michelle Hooper,71 (99),,,,,,12,P,12,P,10,10,10,10,8,15,,12
Christie Ireland,,,,,,,,,,,,,,,,,,
Criztina Jean,16,,,,P,8,P,P,P,,,,,,,,8,
Kerry Johnson,15,,,,,,,15,,,,,,,,,,
Valor Foy Jones,16,,,,,,,P,8,,,,8,,P,,,P
Kirsten Kelly,105 (144),15,20,20,,,,12,,15,15,20,,15,12,,,
Susan Kreider,20,12,,,,,,8,,P,,,,P,,,,
Teresa Markley,0,,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Barbara Mathewson,8,,,,,,,P,,,,8,,,,,,
Bunny May,0,,,,P,,P,,P,,,,,,,P,,
Connie McKeon,0,,P,,,,P,P,P,P,,,,,,,,
Michelle Moore,0,,,,,,,P,,P,,,,,,,,
Jenny Moran,60,20,,,20,,,,,20,,,,,,,,
Daphne Papaefthimiou,40,,,,10,,15,,,,,,,,,,15,
Maria Peters,0,,,P,P,,,P,,,,,P,,P,,,
Jean Phelan,0,,,,,,,P,,P,P,P,P,P,P,,,P
Norma Phillips,75 (137),,15,12,8,15,10,P,15,,,,15,,15,12,12,8
Marie Price,0,,P,,P,P,P,P,P,P,P,,P,P,P,P,P,P
Wendy Rafferty,73,,,,15,,,P,,8,8,15,,12,,,,15
Deelyn Robinson,0,,,,P,P,P,,P,,,,P,,,,P,
Kelly Russo,25,,,15,,,,10,,,,,,,,,,
